A,4,,Définir les caractéristiques voulues avec le client
B,5,A,Rechercher le concept le plus approprié
C,10,B,Établir les plans
D,12,A,Tester sur des modèles réduits et simuler en soufflerie
E,2,H-F,Préparer la ligne de production
F,8,C-D,Réaliser un prototype
G,3,E,Importer les pièces détachées nécessaires à la fabrication
H,4,F,Établissement des documents présentant les caractéristiques détaillées du futur avion
I,1,H,Entrainement des employés
J,12,I,Certification du modèle
K,16,J-G,Production de la commande
L,3,K,Livraison de la commande